log_no,url,title,published,status,error,body_hash,notes
220617859207,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220617859207&categoryNo=1123,Network Manager - 2016년 국가공인 네트워크관리사 필기합격,2016. 2. 4. 1:30,full-text,,59c546d271ecb68e7adf6d1cd6d4ada5c1bdc5aebb02d22787d6fd3a17c142a8,1
220627665301,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220627665301&categoryNo=1123,정보보안기사 - 정보보안 국가기술자격검정 시행계획,2016. 2. 15. 16:04,full-text,,a1ea69a90f9578c2bded738b84be7a01fb99152708dd8ee54d6c9599af4dc9c2,1
220694935469,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220694935469&categoryNo=1123,Good vs Bad - 좋은 프로그래머와 나쁜 프로그래머의 차이,2016. 4. 27. 16:45,full-text,,fecb5def05684ab749885ebfb674ab34f80abb5675b3cb271a222f918697666c,1
220976676837,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220976676837&categoryNo=1123,[PRJ-37] 2015.01 ~ 2015.07 - 삼성전자 정보보안 관리시스템,2017. 4. 6. 14:40,full-text,,25e86e8e6aa6ea9a1061b24c1143bf52672a5acd27f3448aff0ae70a02a78df7,1
220976853246,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220976853246&categoryNo=1123,[PRJ-38] 2015.08 ~ 2016.07 - 삼성SDI ERP Legacy,2017. 4. 6. 17:41,full-text,,7a3b119becba1f7fca3c1e6feebfe2bfad9d2d2fe62d643a9dae6d8d3f40bea3,1
220976894638,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220976894638&categoryNo=1123,[PRJ-39] 2016.08 ~ 2017.01 - 삼성전자 DS PLM,2017. 4. 6. 18:30,full-text,,8e4a14aee2b05b4b12a614a8239a7ff167871dcda0b9a15daacf93edd4a33b34,1
221062234976,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221062234976&categoryNo=1123,Man Month - 맨먼스(MM) 산정하는 방법,2017. 7. 29. 4:43,full-text,,a447b44485839ddc3d649fe9eab780610449aaa23db52c031dfb1e23fbe3d966,1
221063015997,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221063015997&categoryNo=1123,ERwin - Logical 한글컬럼명을 Comment로 생성,2017. 7. 30. 16:13,full-text,,8a4f78886ef0671cd2d9d01957c23d648b13cce0d184934e51e798fdb55d2269,1
221063016647,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221063016647&categoryNo=1123,ERwin - 테이블 스크립트 컬럼 순서에 맞게 생성하기,2017. 7. 30. 16:15,full-text,,bb9a6ce216e3d9c9711b745a38692abfb6872b517eddb1677adb095c6de2cb37,1
221063017354,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221063017354&categoryNo=1123,ERwin - Logical/Physical 컬럼 순서 동기화,2017. 7. 30. 16:16,full-text,,be1c77cf249739e00502612d88895cd1aa670f5895b6e2b6d88ae315edbe756d,1
221149111385,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221149111385&categoryNo=1123,[PRJ-40] 2017.05 ~ 2017.10 - 삼성전자 G-EMS,2017. 11. 26. 22:46,full-text,,5a15ca7ff6e1c6a40d02847fb7bf4d75597e55d0cc5ac9a9af8dc4c3914985b9,1
221158063331,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221158063331&categoryNo=1123,[PRJ-41] 2017.11 ~ 2018.07 - 현대모비스 PLM 1단계,2017. 12. 8. 0:19,full-text,,27c2e8a4ed4c1e8f02585bceae74789e975b6cdfa4e6b3d93dd885fba02b0fdd,1
221229133840,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221229133840&categoryNo=1123,Skill Inventory - 프로젝트 보유기술 현황 (2018년 3월 기준),2018. 3. 15. 1:23,full-text,,2cbdacc07aa8ec1e8a219918cb647d0a993dd9aea23b438cb8501e47c9e3643e,1
221236321010,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221236321010&categoryNo=1123,"Activity, Task - 단계별 액티비티와 산출물 정리",2018. 3. 24. 15:35,full-text,,f9d385d0fb6efb7651a6163390ab9253f0c0e75230b98375e4fa90ae84923877,1
221337136956,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221337136956&categoryNo=1123,현대모비스 - 노무사도 인정하는 '악 덕 기 업',2018. 8. 11. 23:44,full-text,,c5dc7e3a33d25023cf400108f79b2537f7b6669beeabeee31b450bb55aa28e9e,1
221446829741,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221446829741&categoryNo=1123,[PRJ-42] 2018.08 ~ 2019.01 - 삼성전자 G-EMS **S 확산,2019. 1. 20. 22:37,full-text,,728a039395c500126fe887c6cd0da9d76e36aaa0fbffd75365d7604016164316,1
221480860056,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221480860056&categoryNo=1123,[PRJ-43] 2019.02 ~ 2019.06 - 드림텍 PLM 1단계 구축,2019. 3. 5. 16:53,full-text,,db08595af4a82a6914dc4ede73d4aae05ccbef236fb1464ee4a89afe2527d02c,1
221563968182,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221563968182&categoryNo=1123,Smart Factory - 스마트 공장에 대해 알아보자,2019. 6. 17. 13:29,full-text,,c38d6f876ea882ba4e8904fab9ee40b87c7768528a3e92ad7e8bcf1f8b5a02b9,1
221570848290,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221570848290&categoryNo=1123,데이터 모델링 - 선릉 멀티캠퍼스에서 데이터 모델링 강좌 수강,2019. 6. 26. 2:52,full-text,,6b0f47ed45a95e7c2866661ba886456ed9dbfcd707129def164f752feac7420a,1
221574278921,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221574278921&categoryNo=1123,eXERD - 제품-주문 논리/물리 ERD를 생성해 보자,2019. 6. 30. 17:03,full-text,,0812f9b18eca347a94567bb7b5d3ad6081ea0ced4abea300510e9a6d102d93be,1
221585884134,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221585884134&categoryNo=1123,Softomotive - WinAutomation Diploma 합격,2019. 7. 15. 10:06,full-text,,37a22cc1f6b35bc03f01b02756225498074b99c222f086b370a2e721ccf21add,1
221662045947,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221662045947&categoryNo=1123,개인 의견 - 프로젝트를 수행하는 데 필요하다고 생각하는 것들,2019. 9. 28. 16:24,full-text,,5647c0257f87e452c820cfb8c7f28f4d27164cd7e31a436532b81e09b4a0060e,1
221695596903,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221695596903&categoryNo=1123,[PRJ-44] 2019.07 ~ 2019.10 - CJ 올리브영 RPA 구축,2019. 11. 2. 4:12,full-text,,d5ecb60b87c3042857723fb323bb67963f0c836dc5727515effd11b2c31aced2,1
221750737111,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221750737111&categoryNo=1123,Expert - 프로그래밍 전문가가 되기 위한 방법 제목없음,2019. 12. 27. 6:07,full-text,,e5f5c5506254e9194abc9979a2eac6bd324f117f13fd4f495a422d2f3766bae8,1
221755826795,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221755826795&categoryNo=1123,[PRJ-45] 2019.11 ~ 2020.05 - 양재 KOTRA Smart CRM,2019. 12. 31. 23:52,full-text,,b931a91f4b5e45929c63a3fcbd6b3533da896439b6e32125a10c42730f314588,1
221758575926,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221758575926&categoryNo=1123,"2015년 적용 - 소프트웨어 기술자 평균임금 (일,월,시)",2020. 1. 3. 14:38,full-text,,e622c44cf4788296903aaa7fe3c865ac0174d10a011fed49e47083067b1a4ee9,1
221758578516,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221758578516&categoryNo=1123,"2016년 적용 - 소프트웨어 기술자 평균임금 (일,월,시)",2020. 1. 3. 14:40,full-text,,a13126c8068e61dd9371d3877245355305795093e82d4c7ab9b4731e407832a6,1
221758582428,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=221758582428&categoryNo=1123,"2017년 적용 - 소프트웨어 기술자 평균임금 (일,월,시)",2020. 1. 3. 14:44,full-text,,b6ed7ac619607665f387c75fffbe8e1f954dc0e7d357cc104b0359e535b284f4,1
